City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
263,Haines Junction,CA,60.75,-137.51,6.8,55,97,9.17,overcast clouds
264,Shache,CN,38.42,77.24,36.05,77,100,1.88,overcast clouds
265,Somerset West,ZA,-34.08,18.82,66.0,82,0,8.05,clear sky
266,Ornskoldsvik,SE,63.29,18.72,37.4,100,31,2.24,fog
267,Andenes,NO,69.31,16.12,44.01,93,75,9.17,light rain
268,Victoria,HK,22.29,114.16,72.0,71,40,10.65,scattered clouds
269,The Valley,AI,18.22,-63.06,84.2,83,20,13.87,haze
270,Salalah,OM,17.02,54.09,73.4,60,0,5.82,clear sky
271,Adolfo Lopez Mateos,MX,28.47,-107.3,63.0,27,100,7.0,overcast clouds
272,Narsaq,GL,60.92,-46.05,24.8,45,97,6.93,overcast clouds
273,Codrington,AU,-38.27,141.97,66.58,67,98,15.59,overcast clouds
274,Bonthe,SL,7.53,-12.51,79.09,82,45,3.42,scattered clouds
275,Chateaubelair,VC,13.28,-61.25,80.6,83,40,5.82,scattered clouds
276,Emba,KZ,48.83,58.14,45.16,54,87,7.7,overcast clouds
277,Bam,IR,29.11,58.36,56.5,35,0,4.07,clear sky
278,Sakakah,SA,29.97,40.21,71.6,49,75,9.17,thunderstorm
279,Mogadishu,SO,2.04,45.34,79.11,82,70,8.9,light rain
280,Aksu,CN,41.12,80.26,38.73,65,58,0.56,broken clouds
281,Tomatlan,MX,19.93,-105.25,88.93,47,0,7.99,clear sky
282,Northampton,US,40.88,-75.25,42.01,51,0,4.0,clear sky
283,Zhigansk,RU,66.77,123.37,-0.35,91,100,21.25,overcast clouds
284,Srednekolymsk,RU,67.45,153.68,-9.85,87,0,9.08,clear sky
285,Kusadak,RS,44.4,20.8,57.2,82,100,3.36,overcast clouds
286,Honiara,SB,-9.43,159.95,77.0,100,75,4.7,light intensity drizzle
287,Inhambane,MZ,-23.86,35.38,71.91,79,1,5.73,clear sky
288,Risor,NO,58.72,9.23,48.0,90,3,1.01,clear sky
289,Masuda,JP,34.67,131.85,53.6,81,20,6.93,few clouds
290,Georgetown,MY,5.41,100.34,77.0,94,20,3.36,few clouds
291,Rongcheng,CN,30.63,117.85,50.13,63,0,4.47,clear sky
292,Providencia,MX,28.72,-111.58,100.0,17,6,3.0,clear sky
293,Asau,RO,46.43,26.4,46.0,87,100,4.34,overcast clouds
294,Jalu,LY,29.03,21.55,64.65,59,0,9.31,clear sky
295,Boende,CD,-0.22,20.87,71.24,97,100,1.5,overcast clouds
296,Johnshaven,GB,56.79,-2.34,41.0,86,99,4.7,overcast clouds
297,Chuy,UY,-33.7,-53.46,58.64,83,52,7.25,broken clouds
298,Hualmay,PE,-11.1,-77.61,65.16,71,97,6.8,overcast clouds
299,Monte Escobedo,MX,22.3,-103.58,66.02,27,0,13.42,clear sky
300,Kungsbacka,SE,57.49,12.08,52.0,93,75,17.22,broken clouds
301,Bratsk,RU,56.13,101.61,24.8,92,100,2.24,overcast clouds
302,San Quintin,MX,30.48,-115.95,73.38,57,0,13.06,clear sky
303,Aloleng,PH,16.13,119.78,78.49,82,100,6.8,overcast clouds
304,Novikovo,RU,51.15,37.89,48.9,88,92,9.69,light rain
305,Gushikawa,JP,26.35,127.87,73.4,83,75,17.22,broken clouds
306,Batagay-Alyta,RU,67.8,130.41,-6.68,83,94,1.41,overcast clouds
307,Faanui,PF,-16.48,-151.75,79.83,80,0,18.77,clear sky
308,Wilmington,US,34.23,-77.94,52.0,34,1,10.29,clear sky
309,Vestmanna,FO,62.16,-7.17,42.8,81,3,16.11,light rain
310,Mehamn,NO,71.04,27.85,37.4,86,0,26.4,clear sky
311,Puerto Del Rosario,ES,28.5,-13.86,69.8,88,40,13.87,scattered clouds
312,Gambela,ET,8.25,34.58,72.88,78,32,2.98,scattered clouds
313,Ust-Karsk,RU,52.7,118.81,9.57,85,0,2.01,clear sky
314,Kisangani,CD,0.52,25.2,69.73,94,100,2.06,light rain
315,Rio Cuarto,AR,-33.13,-64.35,82.4,23,0,24.16,clear sky
316,Esil,KZ,51.96,66.4,29.68,96,7,4.36,clear sky
317,Mosquera,CO,4.71,-74.23,64.4,63,40,12.75,scattered clouds
318,Bambous Virieux,MU,-20.34,57.76,69.8,73,75,4.7,shower rain
319,Taoudenni,ML,22.68,-3.98,80.06,17,100,8.21,overcast clouds
320,Saint-Andre,RE,-20.95,55.65,68.0,64,75,5.82,broken clouds
321,Usinsk,RU,65.99,57.53,31.87,98,98,19.01,overcast clouds
322,Great Falls,US,47.5,-111.3,70.0,15,1,26.4,clear sky
323,Roald,NO,62.58,6.13,48.2,76,100,12.75,light rain
324,Akdagmadeni,TR,39.66,35.88,39.54,70,8,0.98,clear sky
325,Tsabong,BW,-26.02,22.4,74.55,45,100,20.51,overcast clouds
326,Ulaangom,MN,49.98,92.07,23.23,95,87,2.3,overcast clouds
327,Say,NE,13.1,2.37,82.4,24,20,6.62,few clouds
328,Bereda,ES,43.27,-7.54,48.0,100,94,3.0,overcast clouds
329,Sorland,NO,67.67,12.69,44.6,93,75,3.36,broken clouds
330,Sabang,ID,5.89,95.32,81.18,79,41,4.85,light rain
331,Tangwani,PK,28.28,69.0,62.6,77,0,4.74,haze
332,Kruisfontein,ZA,-34.0,24.73,61.0,92,0,7.45,clear sky
333,Clyde River,CA,70.47,-68.59,12.2,85,75,12.75,light snow
334,Saint-Philippe,RE,-21.36,55.77,69.8,56,90,4.7,overcast clouds
335,Iquitos,PE,-3.75,-73.25,89.6,55,40,2.24,scattered clouds
336,Bakchar,RU,57.02,82.07,30.65,98,100,5.55,overcast clouds
337,Quatre Cocos,MU,-20.21,57.76,69.8,73,75,4.7,shower rain
338,Chute-Aux-Outardes,CA,49.12,-68.4,28.4,74,90,17.22,overcast clouds
339,Taruma,BR,-22.75,-50.58,72.0,37,0,6.29,clear sky
340,Buraydah,SA,26.33,43.98,64.4,42,0,3.36,clear sky
341,Merauke,ID,-8.47,140.33,82.38,79,100,14.63,moderate rain
342,Steamboat Springs,US,40.48,-106.83,62.6,18,1,2.42,clear sky
343,Vestmannaeyjar,IS,63.44,-20.27,43.72,72,100,31.23,overcast clouds
344,Coxim,BR,-18.51,-54.76,83.62,40,30,8.1,scattered clouds
345,Phan Thiet,VN,10.93,108.1,75.56,82,88,4.7,overcast clouds
346,Port Blair,IN,11.67,92.75,79.9,79,100,4.7,overcast clouds
347,Charters Towers,AU,-20.1,146.27,77.29,64,12,15.84,few clouds
348,Marsabit,KE,2.33,37.99,67.23,83,87,11.5,moderate rain
349,Kamaishi,JP,39.27,141.88,54.61,74,96,3.47,overcast clouds
350,Santiago,CL,-33.46,-70.65,78.8,24,0,9.17,clear sky
351,Mayumba,GA,-3.43,10.66,76.69,90,12,3.76,few clouds
352,Homer,US,59.64,-151.55,28.4,21,90,14.99,overcast clouds
353,Buba,GW,11.58,-15.0,78.21,80,0,5.55,clear sky
354,Dedza,MW,-14.38,34.33,64.74,77,57,5.97,broken clouds
355,Fairbanks,US,64.84,-147.72,-5.8,76,75,2.1,mist
356,Akyab,MM,20.15,92.9,78.6,84,90,4.61,overcast clouds
357,Neiafu,TO,-18.65,-173.98,80.6,78,40,13.87,scattered clouds
358,Norman Wells,CA,65.28,-126.83,8.6,84,90,8.05,light snow
359,Tessalit,ML,20.2,1.01,73.98,20,100,11.01,overcast clouds
360,Mandla,IN,22.6,80.38,62.56,48,11,3.04,few clouds
